"","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","cbv","cmr02","cmruglu","devexp","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta","scalingnih","scalingpnc"
"H",0.335829962,1.082641312,-1.317298779,47.10517052,2.588391016,7.052583787,37.70019495,0,0,0,-0.0049099320715124,0,0,0,0,0,0,0,0,0
"ProS",-3.588130185,1.378741358,-1.097784309,47.44688839,2.174790324,1.387715347,19.42725657,5637.97447916667,5240.54861111111,5941.96394314236,-0.0474841230548918,0.55550594859653,0.337465837928984,0.0857630787624253,0.31216520998213,0.0187114636103312,0.0109249051246378,0.23496950533655,0.83485422929128,0.94694584608078
"PeEc",0.018441169,1.142642046,0.207702221,10.29175525,3.230443815,14.82120267,30.65109486,4887.19119064529,3886.44409496753,4514.89104035613,-0.12024081471803,0.5783747891327,0.243685089148484,0.0685124262780338,0.297103768819338,0.0193091927507481,0.013784110171164,0.201761258306441,0.961259514480442,0.793368822568423
"STGa",1.253940978,1.117855911,0.739506038,59.28514839,3.299857104,10.508686,10.43580661,4898.27120535714,4268.00747535342,4808.27646019345,-0.101476424697625,0.603849604016259,0.249314836802937,0.0830292236946878,0.370652197372346,0.0249390448665335,0.0175097461878544,0.254554950055622,0.928813607919784,0.948547678334372
"PBelt",-3.506961968,1.49085344,1.119681928,70.04076551,2.666773252,-5.648011212,-1.550323204,6079.28886510971,5510.69203997673,6414.31894115691,-0.236255965488298,0.586958526296819,0.335830788663093,0.0881801214306912,0.303817529627617,0.0171693573368991,0.0100972509368303,0.24490494835884,0.930238629909272,0.991643851107739
"A5",-2.095631195,1.311737442,1.310704514,71.75998138,3.006775417,1.4438691,10.43580661,5469.08701578776,5029.50729370117,5808.19801839193,0.0354972133720894,0.606747535367807,0.314079182843367,0.0860546743497252,0.320560212557514,0.0206317529470349,0.0138289910391904,0.244845199709137,0.944395840167999,0.974101303766171
"PHA1",0.611933481,1.348825916,-1.795211897,54.18355826,2.817200736,4.820368891,37.70019495,5747.6947582348,4772.19109612542,5241.79820787585,-0.282465231372043,0.568233266070082,0.319753814387966,0.0856660930691539,0.319079715657879,0.0208634467845833,0.0137773074864133,0.240859625307289,0.74684673869932,0.639427697336352
"PHA3",-1.304888487,1.256853034,-1.140905871,46.76369126,2.696323677,6.750685521,39.14760929,5326.40376613451,4751.47433338995,5407.41132387908,-0.187884837449078,0.565745561019234,0.319580334684123,0.0836983831680339,0.320399894662525,0.0207976330800549,0.0140107836088409,0.241512970431991,0.849504126154858,0.847087111162103
"STSda",1.752532581,1.226788177,1.282251804,66.42506429,2.783843213,5.512161902,18.15470858,5246.525390625,4732.76255967882,5554.66517469618,0.0542976957983635,0.622030049562454,0.288518720202976,0.0832767474154631,0.344949617981911,0.0218326138435966,0.0149832432054811,0.246439054608345,1.09405927360058,1.23234924342897
"STSdp",1.801059984,1.337035875,1.477912575,66.62186838,2.61597532,0.016242112,10.43580661,5558.07694367439,5130.24318768901,6073.82540795111,0.0606429166942394,0.640042255963049,0.332067094983593,0.0844645347566374,0.309540589970927,0.0170110105987518,0.0104882780522589,0.246428490165741,1.24236625048422,1.22086995263253
"STSvp",5.8449665,1.273582117,1.4557625,66.02519157,2.779958302,1.578898533,18.15470858,5552.95107886905,5046.94522724454,6113.28293185764,0.121530766031988,0.639071178814722,0.327740608699738,0.0819269512144346,0.313885489626536,0.0166344459183396,0.0104832771485524,0.249329227303702,1.2157055896426,1.12400992900606
"TGd",4.672177798,1.08588071,0.636254677,18.54807905,3.23123965,12.33187985,12.73740008,4700.66455518018,3944.62398384713,4514.4872101105,0.0357283645716961,0.602590037358774,0.181982219756187,0.05964064926983,0.277531615517161,0.0201199255246031,0.0150504065677524,0.184413923739313,0.895978583945884,0.73834764957428
"TE1a",6.412014944,1.162177715,1.574105575,58.31211114,3.187428833,6.895709174,29.06123426,5126.46966145833,4503.34321831597,5577.69287109375,0.235094259970072,0.622847297456529,0.276900659004847,0.0811397193206681,0.354862458176083,0.0242529159204827,0.0180644277483225,0.244779828190804,1.20024669435289,1.11409433550305
"TE1p",5.071964629,1.232511337,1.497965198,72.61798819,2.958685008,2.918179683,15.57731266,5475.14154296875,4838.70736979167,6071.82858723958,0.236089316272252,0.632938519318899,0.318814367850622,0.0841889108220736,0.314761232535044,0.0199533578753471,0.0138037469858925,0.248478378852208,1.17018834908803,1.10892571687698
"TE2a",4.87714166,1.186493195,1.658919718,28.66637513,2.859289639,7.495523468,1.154318187,5306.04319309544,4571.56922376478,5739.95645718961,0.221290173290734,0.602847873359113,0.288549108279718,0.0796502935322555,0.346393975051674,0.0233804824686534,0.0174096639368784,0.244616474050122,1.15609671135206,1.04524935580589
"TF",0.695191273,1.218669421,0.723235966,37.44098852,2.844163622,8.554819954,15.90270653,5220.88501270708,4523.98382788968,5355.16155049887,-0.0744695296716811,0.589852607393839,0.298905851970236,0.0804370210831424,0.340877485203456,0.02174523607435,0.0154042742720031,0.242630133068705,1.07779271631356,0.85501011021166
"TE2p",-1.082771925,1.255231034,1.373939788,48.94512753,2.774865854,3.8912371,19.65856784,5520.11724076705,4862.68370916193,5905.181640625,-0.0679579893297229,0.610349988937378,0.317374228889292,0.0814933362332257,0.321963948553259,0.0190510952675884,0.012973398020999,0.247143996303732,1.06435996077277,0.962387148900466
"PHT",0.804383916,1.244891291,1.167550349,69.72328382,2.86651655,1.084558809,-6.369646176,5606.30905539773,5011.97509765625,6073.31513671875,0.169791128190065,0.657786656509746,0.335890922763131,0.0859762863679366,0.302639696272937,0.0187749414281412,0.0122885558246212,0.24442960078066,1.06952076066624,1.09537058526819
"PH",-2.457273563,1.307442872,0.441142929,59.26929855,2.663561247,-2.490676318,19.95215087,5503.83357484879,5026.13084362399,6109.60707535282,0.0146890211823013,0.600370975271348,0.347127808678535,0.0830097818566907,0.301010177981469,0.0175401078416936,0.0110072442029993,0.240304877440776,1.11020091079896,1.07713683766703
"TPOJ1",-0.665380633,1.371527394,1.173394353,68.27108647,2.651012903,-1.66320225,2.789759956,5754.16968252145,5173.49376723346,6185.30456303615,0.123269521998237,0.671103017002929,0.343156264693129,0.0893895731252782,0.295369100921294,0.0169791692466128,0.0100561884396216,0.245049706861085,1.23752493718091,1.11719181374008
"TPOJ2",-1.964568106,1.361029927,0.972163981,67.50226559,2.659339993,-0.740282664,-6.619302028,5883.91971842448,5326.29127332899,6393.71893988715,0.111460781419142,0.696099465092023,0.358037476738294,0.0874034714781576,0.289385847747326,0.0165408389746315,0.00961991994538241,0.239012444598807,0.938550766971376,1.06368043853177
"TPOJ3",-2.25447068,1.369446062,0.301475645,60.72090799,2.415416367,-1.865418477,0.12342689,5749.00836447011,5344.125,6404.6154466712,0.00969606050057337,0.656021996684696,0.373382954493813,0.088299968968267,0.280929108028826,0.0157984154217917,0.008464808859255,0.233124747872353,0.955912141696266,0.958559072535971
"DVT",-2.965102392,1.371357153,-0.663336745,56.56674693,2.259522091,-3.119359294,1.154318187,5948.73013528963,5405.0117425686,6719.39723466082,-0.152572747927321,0.603655522916375,0.39175224522265,0.0967801106048793,0.263871557101971,0.0176922676221627,0.00859059513796393,0.221313218518001,1.01060025721062,1.02428064259087
"PGp",-1.800627972,1.287836144,0.018799178,65.7724331,2.594901552,-2.547903241,1.154318187,5367.62813585069,4959.2220703125,6156.49024522569,-0.0477212800313002,0.638759859402974,0.38581428527832,0.0900429896182484,0.272407725784514,0.0172762632783916,0.00937387767351336,0.225084859795041,0.836759274535709,0.942077751954397
"IP2",3.234819382,1.335194293,1.698021348,62.68208676,2.39288393,-3.490640461,-14.40265275,6302.70506157309,5547.65407342426,7298.28839214778,0.19850858031506,0.619942884323961,0.343940547967361,0.113491039660017,0.27373690675881,0.0175148435568405,0.00762106231966261,0.243695604346566,1.10330721079293,1.00442541453798
"IP1",4.382447613,1.33665472,0.08748776,67.18216489,2.397877029,-6.769001467,-12.92958539,6156.4136316636,5588.59787645527,7319.15674785539,-0.00152573850937188,0.639407535394033,0.371471262445637,0.105922402412284,0.266386995712916,0.0172508043766606,0.00792614535848592,0.231042388023115,0.989617395634745,1.00341079281826
"IP0",-1.770149876,1.350786588,-0.307874256,63.62537224,2.394448028,-5.648085802,3.705587214,5687.0195608428,5308.97502367424,6745.47040719697,-0.0176648125784206,0.642656445503235,0.394081928513267,0.0932926474647088,0.26559729828979,0.016253876132947,0.0078347909659373,0.222939452438643,0.933997219259089,0.921580697550918
"PFop",-3.32019853,1.250734426,0.926619231,61.11534159,2.734286534,-0.112008517,-51.29938319,5773.98663214917,5001.51829672759,5914.80466907429,-0.0732467691317045,0.613075204615323,0.298368749753484,0.107703024064595,0.300110142186003,0.0224841433524523,0.0128511188657216,0.258482824518995,1.20850193275596,1.09410767172867
"PF",-0.920500765,1.2410465,1.685622395,64.56356668,2.642897565,-1.579462086,-25.0725325,5862.80281929348,5041.59790039063,6305.84347755322,0.0132521773156311,0.668467928102051,0.32375414993452,0.113466481205778,0.280352463972741,0.0202736596212439,0.0108740432997761,0.251279197957205,1.36703004785206,1.36926147039386
"PFm",5.08119923,1.259546531,1.444855596,67.00386205,2.602183364,-2.729687753,1.154318187,5996.70686428931,5256.6710905998,6889.74619770665,0.203633740519811,0.619850758583315,0.341878852152055,0.110771736887193,0.275200462918128,0.0188875949070338,0.00976480520180156,0.243496549898578,1.1078228162181,1.07203983376103
"PGi",5.483263497,1.291881994,1.191182476,62.42764979,2.58582635,-2.631164795,25.18981531,5890.92858664773,5264.5931640625,6542.05793678977,0.0874733480872707,0.678641347993504,0.353326759826053,0.0965455208312381,0.284802840243686,0.0164481734856963,0.00865782085298137,0.240218889035962,1.03472031083974,1.18388160900636
"PGs",5.609616118,1.265234659,0.472941951,64.64232677,2.600558084,-3.38737553,30.98732056,5766.05095003858,5134.92486496914,6626.63659818673,0.0354868331050966,0.660267193376282,0.361957602662805,0.100656318995688,0.274457163648841,0.0180967249160196,0.00962280372824566,0.235209386289856,0.908412154074068,1.09237825428998
"V6A",-4.49763059,1.408173818,-0.789117043,57.77490635,2.304334384,-8.413615478,1.154318187,5735.9787902832,5261.2492980957,6569.64529418945,-0.0627674981951714,0.604028657078743,0.412481851875782,0.0986848878674209,0.248327330686152,0.0185359037714079,0.00947734230430797,0.212492690421641,0.729824841022491,0.963424868881702
"VMV1",-4.085146678,1.447373239,-1.421649034,55.00892224,2.528288586,-8.878133588,1.154318187,5926.29642159598,5513.84788295201,6164.27317592076,-0.440399404082979,0.565744666116578,0.32700746187142,0.0847505253872701,0.318020092589515,0.0196940963422613,0.0124275041744113,0.238100320100784,0.655502027698926,0.792020663619041
"VMV3",-4.182953588,1.408844262,-1.636387234,48.44093692,2.542325215,-3.391226939,16.38000802,5661.21294202303,5424.96214535362,6178.54926500822,-0.35172472681318,0.5669890673537,0.347601376081768,0.0815900866138308,0.310482517669075,0.017938102742559,0.0109597627367628,0.231428151067935,0.980356207019404,1.07113803687849
"PHA2",1.759019416,1.201132608,-1.852256711,53.64601668,2.349726632,8.500017191,39.38183969,5476.24664306641,4588.0224609375,5312.32033284505,-0.172614293483396,0.570125326514244,0.321855877836545,0.0851417640224099,0.317603508631388,0.0195171418599784,0.0126246334984899,0.243257062509656,0.776243321597576,0.710795978705088
"V4t",-4.179660359,1.407068589,-0.204359822,61.6575863,2.528893863,-9.185468779,-1.81986245,5420.97229003906,5031.814453125,6307.61444091797,-0.0198465560634549,0.591633066534996,0.375175358727574,0.0825918121263385,0.286866471171379,0.0174638815224171,0.0102940631913953,0.227608407847583,1.01824922859669,1.05115906149149
"FST",-3.677573887,1.331422081,0.783696041,62.91054965,2.530596278,-2.995992205,-13.68927506,5584.59054744945,5088.02796128217,6224.00265682445,-0.0155256565397038,0.624218693550895,0.362368333865615,0.0835947574061506,0.29043473303318,0.0170639462988166,0.0103582031203105,0.236180035945247,1.10913448649294,1.17606905628653
"V3CD",-4.078135837,1.400465973,-0.344997882,66.73651522,2.341945138,-5.926465513,3.705587214,5552.37923916903,5263.93343838778,6575.12448952415,0.0539696217403451,0.584536525336179,0.393524524840442,0.0875282338397069,0.274292290210724,0.0173548528585922,0.00931369729170745,0.217986409637061,0.797136355530132,1.0513462017883
"LO3",-4.187124501,1.385907618,-0.03262373,65.70121729,2.482075593,-6.521492085,4.584548859,5367.98856977983,5102.3779296875,6177.61823064631,-0.0707765148560467,0.595879603515972,0.381554118611596,0.0854860984466293,0.279830982739275,0.0170525585047223,0.00950721896846186,0.226569015194069,0.843627704815431,0.988601251081987
"VMV2",-3.952094878,1.36049154,-1.627810714,45.54758294,2.347320051,-4.254045113,33.17329796,5339.39513578869,4991.30315290179,5811.5748000372,-0.343331885180975,0.571892724150703,0.336282315708342,0.0842584875367937,0.312460405485971,0.0186097319459631,0.0115144450128788,0.23687461302394,0.773417407558078,0.966210109846933
"31pd",6.013604996,1.326330109,-0.273525188,61.71894427,2.384403459,-5.566466667,34.72041062,6194.17273995536,5457.46400669643,6880.91943359375,-0.0126823914106353,0.593214872905186,0.342175831965038,0.103379086937223,0.2806817982878,0.0197060400354011,0.00854186651163868,0.245515379309654,1.27850514139448,1.15040029798235
"31a",3.795319251,1.269515066,0.11283428,72.24241001,2.811913824,-0.435847829,1.154318187,6583.6093971946,5637.74991122159,7188.59676846591,0.0938532497024252,0.599326699972153,0.304989950223403,0.1107366098599,0.293355337598107,0.0219892952591181,0.0088619274425913,0.26006687364795,1.22666224024513,1.00605597821149
"VVC",-3.533770178,1.408629054,-0.934876339,55.30107758,2.953213578,1.746462522,30.07846173,5960.56082589286,5487.06834774926,6178.34720284598,-0.223323911428452,0.579692363739014,0.3417668285824,0.0825983078352043,0.308583928715615,0.0181846111746771,0.0115490306967071,0.237317295301528,1.02295219614392,0.964915004514513
"25",5.155428263,1.139285529,-0.24892158,57.5224892,3.018216197,13.54135208,5.599411491,5973.55808327415,4782.07002397017,5857.98379794034,0.157044614220994,0.628943315961144,0.196221961216493,0.0778895860368555,0.325158131393519,0.0212397194382819,0.0125103461640802,0.230616611513225,1.12804154374383,1.04076866128228
"s32",5.769977342,1.162505936,0.215129498,59.09151156,2.770885727,10.6519406,10.56063722,6297.29802389706,5172.66483800551,6426.98325482537,0.112571241986007,0.626281640108894,0.209609853870728,0.0895594178753741,0.387399459586424,0.02541010706302,0.0147326967185911,0.273288462091895,1.11361230471555,0.97029950688867
"pOFC",1.713749749,1.329373369,-1.00480625,65.27942063,2.866434645,11.75920589,3.963104862,5898.73572823661,4762.79701450893,5843.89779575893,0.0727278845733963,0.611579787731171,0.181605906145913,0.0624924159475735,0.279169508389064,0.0185068714831557,0.0122284201639039,0.188854017853737,1.07914774077279,0.812519489015852
"PoI1",-2.91846941,1.21180802,0.448329025,60.44426456,3.088810432,5.857389294,-19.05877742,5653.53798264724,4489.00880314754,5051.95038780799,-0.257133472693601,0.610407101420256,0.294482926336619,0.0859463898321757,0.337150970903727,0.0219662067695306,0.0144062460973286,0.24604726382173,0.929779096291615,0.943305365168131
"Ig",-4.458592158,1.355237631,-0.211609697,56.38135109,2.740413761,-4.126468368,-17.57072187,5864.66078016493,5017.71849229601,5976.66611056858,-0.216172534755656,0.576660023795234,0.303002966774835,0.095327572690116,0.316455169684357,0.0228784747111301,0.0136866607289347,0.248649152202739,1.15966770384047,1.11543199751112
"FOP5",-0.728036691,1.285888593,1.110126531,61.37558807,2.63713041,0.579515412,8.494760581,6049.10126122008,4975.70879737367,6355.42698636968,-0.139717656670713,0.63788470816105,0.217022362541645,0.0974639265778217,0.368255469393223,0.0249385914190653,0.0133970677258169,0.278922587633133,0.922315239906311,1.08732733447501
"p10p",5.336611117,1.231982815,0.871258111,71.9496323,2.402629541,-0.080495659,9.375203453,5984.91897243924,5199.6982014974,6927.27492947049,-0.0362899733474478,0.635704712735282,0.185658368799422,0.0948265633649296,0.382075081268946,0.0320969926607278,0.019509115928991,0.285833878649606,0.904133614566591,1.13921984699037
"p47r",4.414513031,1.224398648,1.996953763,73.79562038,2.470637251,0.664919782,8.494760581,6233.46287777549,5248.59351870888,7102.20142886513,-0.00955865216074568,0.630801145967684,0.199733362778237,0.0977730509874068,0.375756573520209,0.0319596784385411,0.0197669979871104,0.275010334033715,0.996991490062914,1.13958842503397
"TGv",1.739691376,1.109979439,0.941369396,0,3.219452412,9.492470645,1.154318187,4789.06668526786,4232.50491768973,4872.19090634301,0.106468100217171,0.593123289800826,0.26348389614196,0.0806485473045281,0.367094681376503,0.0269649290878858,0.0206881681723254,0.241119778936818,0.896796402477083,0.736139477718444
"MBelt",-3.694734641,1.565297733,0.727956869,76.16210118,2.579992833,-7.478037913,-16.90169086,6194.00546347128,5344.40339949324,6313.23007284628,-0.300518161827518,0.598245786653983,0.321108182539811,0.0894125228798067,0.317009567408948,0.0187233608920832,0.0108707874157542,0.242875582060298,1.03052556192553,1.04129120788059
"LBelt",-3.719646271,1.636360876,0.6675903,75.3906414,2.546377606,-7.021736357,8.597739515,6302.01706480369,5608.57224058494,6854.79797676282,-0.234886134940165,0.58503021643712,0.331262794824747,0.0874581151665785,0.308018559064621,0.0163235812662886,0.00896445979388096,0.247972495280779,0.991970756115058,1.06929262020649
"A4",-3.174424076,1.376964225,1.207577054,72.04823804,3.021421703,-2.110559406,-1.239243146,5610.42736816406,5132.95126139323,5950.19697265625,-0.144656472088207,0.596001424392064,0.327650354802609,0.0888371917108695,0.306412023305893,0.0198419720865786,0.0128562040471782,0.244402255117893,0.941414029399554,0.916227056582769
"STSva",5.499971373,1.214705353,1.386545,60.30758635,2.687176652,6.168448666,25.09704627,5145.56314019097,4604.02488064236,5591.25590277778,0.122340396134782,0.629471611976623,0.285690535439385,0.0802962347865105,0.35164886713028,0.0212026890781191,0.0147934585602747,0.246368222766452,1.18641378084819,1.19684712224536
"TE1m",6.189741344,1.233948303,1.721962112,75.75147168,2.946130345,4.893962328,1.154318187,5410.24149676067,4737.46068740473,6058.55779582698,0.199158238383328,0.616081108407276,0.306083098417375,0.0792550642679377,0.329873004337636,0.0209270205984755,0.0151161655056767,0.248745643874494,1.31111961167033,1.19890291516374
"PI",-2.418285143,1.143459586,0.137755764,56.81292978,2.555742351,9.929250959,1.154318187,5104.95855189732,4046.54711914063,4508.07855747768,-0.321309797647523,0.615843529360635,0.28022654397147,0.0834360384515354,0.352877467870712,0.021083132869431,0.0136959850522024,0.248680823189872,0.799278025967734,0.817924928665161
"a32pr",0.653818695,1.186347634,1.220728079,52.14133396,2.927971938,7.240792347,-0.694379382,6167.79474954044,4959.76311178768,6449.34864717371,0.116217911546119,0.632263514925452,0.201473907951046,0.0995505143176107,0.358137643512558,0.0236577673760407,0.0107362752451616,0.306443895487224,1.1079855280764,1.03493712404195
"p24",0.449938149,1.060037589,1.035542241,58.75703905,3.182908375,15.79045151,-0.664599996,6378.72924804688,4971.49306640625,5987.15590820313,0.00945561520001363,0.629817169904709,0.201976129412651,0.097588748857379,0.365279266238213,0.0235725360922515,0.0110015453770757,0.300581775605679,1.10980744361877,1.03275875747204
